대분류,중분류,소분류,발명의 명칭,출원일,대표출원인 국적
UAM,기체•부품,기계•전기전자 시스템,현실 또는 가상 비행 물체를 제어하기 위한 제어장치,2020.01.03,DE
UAM,기체•부품,기체구조,수직 이착륙 비행체(vertical takeoff and landing aircraft),2011.09.21,KR
UAM,기체•부품,기체구조,고정전분경사 로터를 사용해 강체날개의 공기 역학을 시뮬레이트 하는 수직 이착륙 항공기,2020.05.21,US
UAM,기체•부품,기체구조,충돌 내성이 있는 추진력 및 컨트롤러를 구비한 무인 항공기,2020.02.19,CH
UAM,기체•부품,동력•추진 시스템,푸셔 프로펠러를 구비한 항공기,2021.02.10,US
UAM,기체•부품,동력•추진 시스템,틸팅 팬 어셈블리를 구비한 항공기,2021.01.29,US
UAM,기체•부품,기계•전기전자 시스템,감시 시스템,2021.06.10,DE
UAM,기체•부품,기체구조,특히 회전익 항공기의 main rotor용의 구동장치,2020.02.03,CH
UAM,기체•부품,동력•추진 시스템,신속한 전개 및 표적 항공기를 무력화하기 위한 고정된 공중 대항 수단,2019.10.03,US
UAM,기체•부품,기계•전기전자 시스템,"항공 교통 관리 전자 시스템을 통한 항공 관리를 위한 훈련 및/또는 지원 플랫폼, 연관된 방법(training and/or assistance platform for air management via air traffic management electronic system, associated method)",2019.06.21,FR
UAM,기체•부품,기체구조,수직 이착륙 성능을 가진 항공기의 제어,2021.05.13,US
UAM,기체•부품,기계•전기전자 시스템,해방 가능한 크롤러를 가진 퍼치 하는 uav를 사용한 검사 방법,2019.11.26,SA
UAM,기체•부품,기계•전기전자 시스템,"헬리콥터 위성 통신 시스템, 헬리콥터 탑재 통신장치, 지상국 통신장치, 통신방법, 및 컴퓨터 프로그램을 기록한 컴퓨터 판독가능한 기록매체(helicopter satellite communication system, helicopter-mounted communication apparatus, terrestrial station communication apparatus, communication method, and computer program)",2013.03.18,JP
UAM,기체•부품,기계•전기전자 시스템,"헬리콥터 위성 통신 시스템, 통신장치, 통신방법, 및 통신 프로그램을 기록한 컴퓨터 판독가능한 기록매체(helicopter satellite communication system, communication apparatus, communication method, and computer-readable recording medium having communication program redorded thereon)",2013.03.18,JP
UAM,기체•부품,인증•시험평가,"헬리콥터, 헬리콥터 킷 및 관련하는 재구성 방법",2021.03.19,JP
UAM,기체•부품,기계•전기전자 시스템,샤프트 허브 토오크 베어링(shaft hub torque bearings),2018.08.15,KR
UAM,기체•부품,동력•추진 시스템,응집력을 이용하는 프로펠러(cohesive power utilization propeller),2002.03.30,KR
UAM,기체•부품,기체구조,분단 링형 주행 안내기형 가이도웨식 교통 및 분단 링형 안내 궤도형 가이도웨식 교통에 있어서의 공륙 양용 교통기관,2002.02.12,JP
UAM,기체•부품,동력•추진 시스템,로터브레이드,2002.01.04,JP
UAM,기체•부품,기계•전기전자 시스템,어느 범위내의 엔진 센서의 고장을 검출하는 방법,2002.11.15,US
UAM,기체•부품,기계•전기전자 시스템,항공교통 관제용 2차 감시 레이더 의사(擬似) 질문 신호 발생 장치,2002.02.18,JP
UAM,기체•부품,기계•전기전자 시스템,헬리콥터 로터의 하네의 성형 방법,2003.03.12,JP
UAM,기체•부품,동력•추진 시스템,코어 엔진 분리형 터보 팬 엔진,2002.01.16,JP
UAM,기체•부품,기계•전기전자 시스템,"헬리콥터의 로터용의 볼 및 댐퍼 결합 장치, 및 그것을 구비한 헬리콥터의 로터",2003.05.23,FR
UAM,기체•부품,기체구조,헬리콥터 착륙 장치,2002.12.02,IT
UAM,기체•부품,동력•추진 시스템,복합 회전익 항공기,2002.01.31,JP
UAM,기체•부품,동력•추진 시스템,헬리콥터 보조 날개,2002.04.22,JP
UAM,기체•부품,기계•전기전자 시스템,항공기용 좌석,2002.02.05,FR
UAM,기체•부품,기체구조,방사형 고압 유동체 분사 장치,2002.03.25,JP
UAM,기체•부품,기계•전기전자 시스템,승선 브리지의 제어장치 및 이것을 구비하는 승선 브리지,2002.05.07,JP
UAM,기체•부품,기계•전기전자 시스템,로터 토크 예측 장치,2002.11.13,US
UAM,기체•부품,기계•전기전자 시스템,로터 토크 예측 장치,2002.11.13,US
UAM,기체•부품,동력•추진 시스템,엔진 제어 시스템,2002.09.25,US
UAM,기체•부품,기계•전기전자 시스템,항공기 주위의 교통 정보 표시 장치,2002.03.28,JP
UAM,기체•부품,기계•전기전자 시스템,회전익기가 회전하고 있는 로터브레이드가 블레이드 후류와와 충돌하는 것을 회피하는 방법 및 그 방법을 실행하기 위한 장치,2002.09.09,DE
UAM,기체•부품,기계•전기전자 시스템,원격조종 시스템,2002.03.14,JP
UAM,기체•부품,기계•전기전자 시스템,비행 경로 조정장치,2002.04.01,JP
UAM,기체•부품,기계•전기전자 시스템,"하이브리드 킬, 기어 위치설정 시스템, 동력 전달 장치, 및 페이스 기어 동력 전달 장치",2002.09.19,US
UAM,항행•교통관리,UAM 탑재 통신,비행기체의 음성 통지 장치 및 주파수 변조 장치,2002.04.19,JP
UAM,기체•부품,기계•전기전자 시스템,정보 제공 시스템,2002.03.22,JP
UAM,기체•부품,기계•전기전자 시스템,운송수단의 탑승 요금 변경 시스템,2002.01.21,JP
UAM,기체•부품,동력•추진 시스템,다팬식 코어 엔진 분리형 터보 팬 엔진,2002.01.16,JP
UAM,기체•부품,기계•전기전자 시스템,행동 제어 장치 및 방법,2002.04.08,JP
UAM,기체•부품,기계•전기전자 시스템,항공기 운항 지원 장치 및 항공기 운항 지원 방법,2002.03.28,JP
UAM,기체•부품,기계•전기전자 시스템,재고 정보 조회 방법,2002.03.01,JP
UAM,기체•부품,기계•전기전자 시스템,원격조종장치,2002.12.18,JP
UAM,기체•부품,기계•전기전자 시스템,헬리콥터용 bvi 소음 저감 방법 및 장치,2002.04.15,JP
UAM,기체•부품,기계•전기전자 시스템,헬리콥터의 로터브레이드로 요동 가능으로 지지된 플랩의 포지션 조절을 행하기 위한 방법 및 제어장치,2002.03.26,DE
UAM,기체•부품,인증•시험평가,회전익기에서 방향 안정 시스템,2002.01.18,JP
UAM,기체•부품,기체구조,수륙 양용 다회전익식 항공기,2002.01.25,JP
UAM,기체•부품,동력•추진 시스템,피스톤을 제거하여 연료의 폭발과 판의 미는 힘으로 원형운동을 하는 엔진(the engine that a piston is removed to rotate from blasting fuel and pushing power of plane),2010.01.30,KR
UAM,기체•부품,동력•추진 시스템,그린에너지 하이브리드 헬리콥터(green energy hybrid helicopter),2010.01.27,KR
UAM,기체•부품,기계•전기전자 시스템,조종사 구조를 위해 자동 절단되는 헬리콥터 날개(automatic cutting blades to survive a hellicopter pilot),2010.01.25,KR
UAM,기체•부품,동력•추진 시스템,원형 본체 하부에 프로펠러 추가하여 꼬리날개를 제거한 헬리콥터(a general helicopter added under propeller (minus tail propeller)),2010.01.21,KR
UAM,기체•부품,동력•추진 시스템,테일 붐 안정 vtol기,2004.10.19,US
UAM,기체•부품,기체구조,원반 양력형 비행체(밀봉형),2013.04.23,JP
UAM,기체•부품,기체구조,원반 양력형 비행체(밀접형),2013.03.01,JP
UAM,기체•부품,기계•전기전자 시스템,「압전 스피커 및 그것을 탑재한 음성 전달용 무선 조정 무인기」,2018.11.26,JP
UAM,기체•부품,동력•추진 시스템,프로텍트 프레임축의 기울기와 독립으로 비행체 본체를 수평으로 할 수 있는 육상 주행 가능한 비행체,2015.03.16,JP
UAM,기체•부품,기계•전기전자 시스템,고광도 항공 장해등의 섬광 구동장치,2017.11.30,JP
UAM,기체•부품,기체구조,２개 이상의 회전익을 가지는 항공기의 안정화 기구,2018.01.15,JP
UAM,기체•부품,동력•추진 시스템,초음파 모터 및 헬리콥터,2004.10.28,JP
UAM,기체•부품,동력•추진 시스템,2겹반전 프로펠러 모터,2010.06.29,JP
UAM,기체•부품,기체구조,비행체 및 비행체의 제어 방법,2019.06.24,JP
UAM,기체•부품,동력•추진 시스템,영각이 2종류있는 프로펠러,2008.01.15,JP
UAM,기체•부품,기계•전기전자 시스템,항공 장해등의 제어 방법 내지 그 방법을 실시하기 위한 윈도우 파크,2012.11.09,DE
UAM,기체•부품,기계•전기전자 시스템,2차 레이더를 이용하여 항공기 탑재 트랜스폰더의 특정의 특징을 라인 동작시에 측정하는 방법,2019.05.16,FR
UAM,기체•부품,인증•시험평가,비행형 조사기를 이용한 조사 방법,2015.12.16,JP
UAM,기체•부품,기계•전기전자 시스템,비행체 및 비행체의 제어 방법,2019.06.24,JP
UAM,기체•부품,기계•전기전자 시스템,"회로, 단말장치, 기지국 장치 및 방법",2017.07.20,JP
UAM,기체•부품,기계•전기전자 시스템,"전자계 데이터 취득 시스템, 비행체, 단말장치, 및, 프로그램",2017.02.23,JP
UAM,기체•부품,기계•전기전자 시스템,멀티콥터 및 멀티콥터 시스템,2015.05.26,JP
UAM,기체•부품,기체구조,수직 이착륙 비행체의 제어 방법,2013.05.27,JP
UAM,기체•부품,동력•추진 시스템,무선 전송 장치 및 무선 전송 방법,2017.09.08,JP
UAM,기체•부품,기계•전기전자 시스템,비행 유도 시스템,2016.01.12,JP
UAM,기체•부품,기체구조,무선 조정 무인기의 착륙 장치,2017.05.11,JP
UAM,기체•부품,기계•전기전자 시스템,"비행체 및 그 비행 제어 방법, 비행체의 비행 제어로 이용하는 발광 장치, 및, 비행 제어 시스템",2015.07.24,JP
UAM,기체•부품,기계•전기전자 시스템,무인 헬리콥터의 표시장치 및 그 사용 방법,2003.03.07,JP
UAM,기체•부품,기계•전기전자 시스템,"구조물의 형상 측정용의 화상 촬영 시스템, 기상 제어장치",2018.03.30,JP
UAM,기체•부품,기계•전기전자 시스템,무인 헬리콥터,2006.04.26,JP
UAM,기체•부품,기계•전기전자 시스템,비행체 및 비행체의 제어 방법,2019.06.24,JP
UAM,기체•부품,동력•추진 시스템,항공기의 비행 제어 시스템 및 비행 제어 시스템을 탑재한 항공기,2007.12.11,JP
UAM,기체•부품,기계•전기전자 시스템,R/c헬기의 로터 제어장치,2004.02.12,JP
UAM,기체•부품,기계•전기전자 시스템,원격 조종식 헬리콥터의 조종 연습 장치,2011.02.24,JP
UAM,기체•부품,기체구조,정보를 표시하는 방법 및 탈 것,2018.11.29,CN
UAM,기체•부품,기계•전기전자 시스템,"공간 배치 제어장치, 방법, 및 프로그램",2018.10.31,JP
UAM,기체•부품,동력•추진 시스템,비상체를 이용한 풍력 발전 설비의 검사 시스템 및 검사 방법,2017.10.13,JP
UAM,기체•부품,동력•추진 시스템,엔진 조립체 및 엔진 추진 시스템,2007.10.11,US
UAM,기체•부품,기계•전기전자 시스템,비행체 및 비행체의 제어 방법,2018.08.10,JP
UAM,기체•부품,기계•전기전자 시스템,헬리콥터 구조 및 그 진동한 감소 방법 및 장치,2006.11.22,GB
UAM,기체•부품,동력•추진 시스템,가스 발생기(gas producer) 및 프리 터빈을 구비하는 헬리콥터 터보 샤프트 엔진,2013.04.17,FR
UAM,기체•부품,동력•추진 시스템,하이브리드 비행체,2018.11.02,JP
UAM,기체•부품,동력•추진 시스템,하이브리드 비행체,2018.11.15,JP
UAM,기체•부품,기체구조,하이브리드 비행체,2018.11.08,JP
UAM,기체•부품,기계•전기전자 시스템,헬리콥터 고용인생명 구조 부이,2004.06.10,JP
UAM,기체•부품,기계•전기전자 시스템,"통신 장치, 통신 시스템 및 통신 방법",2005.01.05,JP
UAM,기체•부품,기계•전기전자 시스템,항공교통을 관리하는 방법 및 시스템,2012.02.21,US
UAM,기체•부품,기계•전기전자 시스템,물체 표면에 요철을 붙이는 일에 의한 유체 저항한 경감 기술,2008.09.12,JP
UAM,기체•부품,동력•추진 시스템,헬리콥터 구동 유닛용의 비회전식 유니버설조인트,2011.05.27,JP
UAM,기체•부품,동력•추진 시스템,발전용 비행체,2017.11.13,JP
UAM,기체•부품,기계•전기전자 시스템,저탄 온도 측정 장치 및 저탄 온도 측정 방법,2015.11.25,JP
UAM,기체•부품,기계•전기전자 시스템,"무인 비행 장치 제어 시스템, 무인 비행 장치 제어 방법 및 무인 비행 장치",2016.02.09,JP
UAM,기체•부품,기계•전기전자 시스템,비행체의 보호 장치,2017.11.17,JP
UAM,기체•부품,기체구조,수직이착륙기,2005.04.13,JP
UAM,기체•부품,기체구조,수직 이착륙 비행체,2015.07.14,JP
UAM,항행•교통관리,UAM 비행•항법,회전익 항공기,2020.06.04,JP
UAM,항행•교통관리,UAM 비행•항법,회전익 항공기,2020.06.04,JP
UAM,기체•부품,기계•전기전자 시스템,"기상 측정 장치, 그 방법 및 프로그램",2017.01.12,JP
UAM,기체•부품,기체구조,수직 이착륙 비상 장치,2003.10.24,JP
UAM,인프라,수리/정비,개량형 헬리콥터용 트랜스미션,2006.06.19,JP
UAM,기체•부품,동력•추진 시스템,"펌프 장치, 특히 헬리콥터 윤활용의 펌프 장치",2011.10.05,JP
UAM,기체•부품,기계•전기전자 시스템,헬리콥터용 충격 흡수 갑판,2006.10.20,JP
UAM,기체•부품,기계•전기전자 시스템,"촬상 시스템, 무인 항공기, 및 방법",2015.04.20,CN
UAM,기체•부품,기계•전기전자 시스템,충전 장치,2017.11.21,JP
UAM,기체•부품,기계•전기전자 시스템,무인 헬리콥터의 자율 제어 박스 구조,2005.08.04,JP
UAM,기체•부품,기계•전기전자 시스템,무인 비행체 및 비행음 취소 방법,2015.10.07,US
UAM,기체•부품,동력•추진 시스템,무인 헬리콥터,2006.09.07,JP
UAM,기체•부품,기체구조,로터 저장형 원형날개 항공기,2008.02.13,JP
UAM,기체•부품,동력•추진 시스템,자세 제어장치 첨부 비상체,2004.09.01,JP
UAM,기체•부품,동력•추진 시스템,무선 조종 헬리콥터 완구,2003.11.20,JP
UAM,기체•부품,기계•전기전자 시스템,정보관리 방법 및 정보관리 시스템,2020.06.09,JP
UAM,기체•부품,기체구조,무인기계 시스템 및 지상 무인기계 및 무인 비행체,2015.04.09,JP
UAM,기체•부품,기계•전기전자 시스템,무인 회전익 비행체의 제어 방법,2014.05.16,JP
UAM,기체•부품,기계•전기전자 시스템,회전익 항공기용의 로터 헤드의 로터브레이드 결합 장치,2015.08.26,CH
UAM,기체•부품,기계•전기전자 시스템,무인 비행체,2019.12.26,JP
UAM,기체•부품,동력•추진 시스템,무인 비행 장치 및 로터의 지지 방법,2016.08.05,JP
UAM,기체•부품,인증•시험평가,산업용 무인헬리콥터의 차재 고정구,2006.05.10,JP
UAM,기체•부품,기계•전기전자 시스템,비행체,2019.05.27,JP
UAM,기체•부품,기계•전기전자 시스템,비행체,2018.04.09,JP
UAM,기체•부품,동력•추진 시스템,"헬리콥터, 헬리콥터용 배터리 교환 장치, 및 , 헬리콥터 시스템",2013.08.26,JP
UAM,기체•부품,기계•전기전자 시스템,촬상 시스템 및 촬상 방법,2019.03.19,JP
UAM,기체•부품,기계•전기전자 시스템,촬상 시스템 및 촬상 방법,2018.10.31,JP
UAM,기체•부품,기체구조,수직이착륙기,2012.03.14,JP
UAM,기체•부품,기체구조,수직이착륙기,2011.06.30,JP
UAM,기체•부품,기체구조,수직 이발착기,2009.12.25,JP
UAM,기체•부품,기계•전기전자 시스템,"커버리지 장치, 이동체, 제어장치, 이동체의 분산 제어 프로그램",2017.07.10,JP
UAM,기체•부품,인증•시험평가,회전익 항공기의 로터 허브 구조체,2002.08.09,JP
UAM,기체•부품,동력•추진 시스템,회전익,2002.07.04,JP
UAM,기체•부품,기체구조,비행체 및 비행체의 제어 방법,2019.06.24,JP
UAM,기체•부품,기체구조,비행체 및 비행체의 제어 방법,2019.06.24,JP
UAM,기체•부품,기체구조,비행체 및 비행체의 제어 방법,2019.06.24,JP
UAM,기체•부품,기체구조,연지상 스테이션 및 그것을 사용하는 시스템,2016.03.24,US
UAM,기체•부품,기계•전기전자 시스템,비상체,2018.02.03,JP
UAM,기체•부품,기계•전기전자 시스템,적어도 내부 영역과 구동 계통 수용 영역을 규정하는 동체를 구비한 항공기,2016.01.25,DE
UAM,기체•부품,동력•추진 시스템,접어 가능한 무인 항공기,2019.11.11,CN
UAM,기체•부품,기계•전기전자 시스템,대화형 항공기 캐빈,2016.04.14,FR
UAM,기체•부품,기계•전기전자 시스템,"통신망을 이용한 전세계의 호텔 검색 및 예약, 항공권의 예약, 도시 정보의 검색 및 소셜l네트워킹서비스를 포함한 여행 절차 일괄 시스템",2007.10.08,JP
UAM,기체•부품,기체구조,거대 우주 버스,2003.10.07,JP
UAM,기체•부품,동력•추진 시스템,무인 비행체를 이용한 수송 시스템,2015.12.07,JP
UAM,기체•부품,동력•추진 시스템,"무인 비행 장치, 그 방법 및 프로그램",2018.03.14,JP
UAM,기체•부품,기계•전기전자 시스템,"무인 작업 장치, 그 방법 및 프로그램",2016.10.31,JP
UAM,기체•부품,기계•전기전자 시스템,원격 조종식 회전익기,2016.03.29,JP
UAM,기체•부품,동력•추진 시스템,부상 로봇을 임용한 구조물 검사 장치,2015.04.30,JP
UAM,기체•부품,기계•전기전자 시스템,검사 장치,2019.03.28,JP
UAM,기체•부품,동력•추진 시스템,무선 조종식의 회전익기,2015.03.11,JP
UAM,기체•부품,기계•전기전자 시스템,무선 조종식 회전익기,2019.04.01,JP
UAM,항행•교통관리,UAM 비행•항법,"무인 비행 검사기, 및 보일러의 검사 방법",2017.02.07,JP
UAM,기체•부품,기계•전기전자 시스템,무인 비행 검사기의 조립 방법 및 무인 비행 검사기를 이용한 검사 대상물의 검사 방법,2018.03.23,JP
UAM,기체•부품,기계•전기전자 시스템,무인 비행검전장치,2016.01.29,JP
UAM,기체•부품,기계•전기전자 시스템,"비상기, 비상기의 사용 방법, 비상기의 프레임",2017.03.06,JP
UAM,기체•부품,기계•전기전자 시스템,원심형 공기류 제어장치,2010.12.14,US
UAM,기체•부품,인증•시험평가,측정용 비행체,2012.03.12,JP
UAM,기체•부품,기체구조,수직이착륙기 및 수직이착륙기용 엔진 제어장치,2005.02.03,JP
UAM,기체•부품,동력•추진 시스템,프레임 조립체,2018.06.08,JP
UAM,기체•부품,동력•추진 시스템,프레임 조립체,2019.06.28,JP
UAM,기체•부품,기계•전기전자 시스템,항공기용의 에어백 장치,2016.12.21,JP
UAM,기체•부품,기체구조,무인 비행체의 다리부,2017.11.24,JP
UAM,기체•부품,기체구조,경사 표면상에서의 수직 이륙 및 착륙 방법,2008.02.22,US
UAM,항행•교통관리,UAM 비행•항법,무인 비행기 및 상대 반사율의 산출 방법,2018.03.30,JP
UAM,기체•부품,기계•전기전자 시스템,현수형 무선 조정 무인기,2017.11.02,JP
UAM,기체•부품,기계•전기전자 시스템,무인 비행체에 의한 배송 방법,2014.11.04,JP
UAM,기체•부품,기계•전기전자 시스템,공중 촬영 시스템,2010.03.04,JP
UAM,기체•부품,인증•시험평가,비행 머신,2004.07.29,JP
UAM,기체•부품,기계•전기전자 시스템,공중 살포 장치,2015.02.07,JP
UAM,기체•부품,동력•추진 시스템,멀티콥터,2017.05.29,JP
UAM,기체•부품,기체구조,수직 이착륙용 회전익을 부가한 고정익 비행기의 구조,2012.06.20,JP
UAM,기체•부품,기체구조,수직 이착륙용 회전익을 부가한 고정익 비행기의 구조,2012.07.10,JP
UAM,기체•부품,기체구조,주 날개 설치각 변경 장치를 구비한 수직 이착륙 항공기,2008.03.26,JP
UAM,기체•부품,기체구조,Wing－rotor에 의한 수직 이착륙 무인 항공기,2010.11.28,JP
UAM,기체•부품,기체구조,Tilt날개 기구에 의한 수직 이발착 무인 항공기,2009.04.24,JP
UAM,기체•부품,기체구조,발착함기와 리함장비와 선체감요장비,2011.05.20,JP
UAM,기체•부품,기체구조,"비행기계, 수송 시스템, 및, 수송 시스템의 운용 방법",2017.06.19,JP
UAM,기체•부품,기계•전기전자 시스템,헬리콥터용의 전기적 접속 장치와 전기적 접속 장치를 구비한 헬리콥터,2003.04.11,JP
UAM,기체•부품,동력•추진 시스템,항공기,2018.07.09,JP
UAM,기체•부품,동력•추진 시스템,무인 항공기,2019.04.01,JP
UAM,기체•부품,동력•추진 시스템,무인 항공기,2019.04.01,JP
UAM,기체•부품,인증•시험평가,"접근 비행동안의 음향 개선용으로, 및 전진 비행 중의 성능을 개선하도록 적합된 형상의 항공기 로터브레이드",2016.12.08,FR
UAM,기체•부품,기계•전기전자 시스템,무인 헬리콥터의 중량물 배치 구조,2005.03.24,JP
UAM,기체•부품,동력•추진 시스템,마르치코프타,2015.12.22,JP
UAM,기체•부품,인증•시험평가,비행식 분사 장치 및 도장 방법,2018.02.09,JP
UAM,기체•부품,기계•전기전자 시스템,항공교통을 관리하는 방법 및 시스템,2012.02.16,US
UAM,기체•부품,기계•전기전자 시스템,"교량의 손상 상태 조사 시스템, 교량의 손상 상태 조사 방법 및 공중 이동 기기",2013.08.09,JP
UAM,기체•부품,기계•전기전자 시스템,무선 송전 장치 및 무선 송전 시스템,2019.09.13,JP
UAM,항행•교통관리,UAM 충돌회피,항공기 공중 정지 작업 지원 시스템 및 이것을 구비하는 항공기,2017.06.13,JP
UAM,기체•부품,기계•전기전자 시스템,항공기 공중 정지 작업 지원 시스템 및 이것을 구비하는 항공기,2020.08.03,JP
UAM,기체•부품,기계•전기전자 시스템,유도탄 시스템,2005.01.27,JP
UAM,기체•부품,기계•전기전자 시스템,비행형 정보처리 장치,2006.11.14,JP
UAM,기체•부품,인증•시험평가,비행체,2018.09.22,JP
UAM,기체•부품,인증•시험평가,비행체,2020.06.18,JP
UAM,기체•부품,동력•추진 시스템,유인 비행체,2019.01.01,JP
